,GFI,complexity,document,length_of_chunk,number_of_chunk
886,10.6692,3,summaryL1/fu054d_2007_07.txt,14,2
887,11.2001,3,summaryL1/fu054d_2007_07.txt,12,1
888,11.958,3,summaryL1/fu054d_2007_07.txt,12,2
889,11.5348,3,summaryL1/fu054d_2007_07.txt,10,1
890,10.9914,3,summaryL1/fu054d_2007_07.txt,10,2
891,11.9957,3,summaryL1/fu054d_2007_07.txt,10,3
892,8.7441,4,summaryL1/fu054d_2007_07.txt,34,1
904,8.9284,4,summaryL1/fu054d_2007_07.txt,30,1
905,8.7934,4,summaryL1/fu054d_2007_07.txt,28,1
906,8.5181,4,summaryL1/fu054d_2007_07.txt,26,1
907,8.8546,4,summaryL1/fu054d_2007_07.txt,24,1
908,7.9727,4,summaryL1/fu054d_2007_07.txt,22,1
909,8.0492,4,summaryL1/fu054d_2007_07.txt,20,1
910,8.3989,4,summaryL1/fu054d_2007_07.txt,18,1
911,8.5692,4,summaryL1/fu054d_2007_07.txt,16,1
912,8.8128,4,summaryL1/fu054d_2007_07.txt,16,2
913,8.6032,4,summaryL1/fu054d_2007_07.txt,14,1
914,8.985,4,summaryL1/fu054d_2007_07.txt,14,2
915,8.1508,4,summaryL1/fu054d_2007_07.txt,12,1
916,9.5289,4,summaryL1/fu054d_2007_07.txt,12,2
917,8.2861,4,summaryL1/fu054d_2007_07.txt,10,1
918,7.8776,4,summaryL1/fu054d_2007_07.txt,10,2
919,10.5671,4,summaryL1/fu054d_2007_07.txt,10,3
920,8.0112,5,summaryL1/fu054d_2007_07.txt,34,1
932,8.1121,5,summaryL1/fu054d_2007_07.txt,30,1
933,8.1448,5,summaryL1/fu054d_2007_07.txt,28,1
934,7.7834,5,summaryL1/fu054d_2007_07.txt,26,1
935,8.0887,5,summaryL1/fu054d_2007_07.txt,24,1
936,7.4727,5,summaryL1/fu054d_2007_07.txt,22,1
937,7.4998,5,summaryL1/fu054d_2007_07.txt,20,1
938,7.8124,5,summaryL1/fu054d_2007_07.txt,18,1
939,8.0564,5,summaryL1/fu054d_2007_07.txt,16,1
940,7.7426,5,summaryL1/fu054d_2007_07.txt,16,2
941,8.0106,5,summaryL1/fu054d_2007_07.txt,14,1
942,8.2832,5,summaryL1/fu054d_2007_07.txt,14,2
